Device: MMC60_Assistive_Switch,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V1.0,"Date Created: Feb 2, 2026", $12.14 ,1.97,39.4,,,,,,,
Commercial Parts:,,,,,,,,,,,
"Part type (Electrical. Mechanical, Sanitization, ect)",Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
,3.5mm Mono Jack,1,1, $2.47 , $2.47 , $2.47 ,,https://www.digikey.ca/en/products/detail/cui-inc/MJ-3502/281321,,,
,#4 3/8 length screw,5,1, $0.52 , $0.52 , $2.59 ,,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,
,1/4-20 Hex nut,2,1, $0.22 , $0.22 , $0.44 ,,https://www.digikey.ca/en/products/detail/80-20-llc/24202/28311218,,,
,"1/4-20, 1/2"" length Hex Bolt",1,1, $0.58 , $0.58 , $0.58 ,,https://www.homedepot.ca/product/paulin-1-4-20-x-1-2-inch-hex-head-cap-screw-18-8-stainless-steel-unc/1000142251,,,
,"1/4-20, 5/16"" length T-Nut",1,1, $0.55 , $0.55 , $0.55 ,,https://www.homedepot.ca/product/paulin-1-4-inch-20-tee-nuts-4-prong-5-16-inch-barrel-length/1000129429,,,
,"3.5 mm Mono Cable, 10 ft, Male to Male",1,1,2.89, $2.89 , $2.89 ,,https://www.primecables.ca/p-370665-cab-aud-200-all-35mm-18-inch-mono-ts-male-to-male-28awg-ft4-cable-black#sku383507,,,
,Limit Switch,1,1,1.55, $1.55 , $1.55 ,,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/SS-3GP/664724,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
MMC60_Base_Bottom_EN-FR,,1,20.74, $0.52 ,56,,,,,,
MMC60_Button,,1,9.2, $0.23 ,24,,,,,,
RFS_Base_Top,,1,5.67, $0.14 ,16,,,,,,
RFS_Flexure,,1,3.53, $0.09 ,15,,,,,,
RFS_Pins,,1,0.26, $0.01 ,7,,,,,,
RFS_Sw_Jack_Mount,,1,3.54, $0.09 ,15,,,,,,
,,,Total Print Cost:, $1.07 ,,,,,,,
Tools for Assembly,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
#4 3/8 length screw,https://a.co/d/0fvi6Sdn,,,,,,,,,,
1/4-20 Hex nut,https://a.co/d/04irVJAz,,,,,,,,,,
"1/4-20, 1/2"" length Hex Bolt",https://a.co/d/0aEeQ1J0,,,,,,,,,,
"1/4-20, 5/16"" length T-Nut",https://a.co/d/083bJTZo,,,,,,,,,,
